mz,KOGCHUM1,KOGCHUM2,KOGCHUM3,WTGCHUM1,WTGCHUM2,WTGCHUM3,KORCHUM1,KORCHUM2,KORCHUM3,WTRCHUM1,WTRCHUM2,WTRCHUM3
146.0985388,29932.35824,94067.61118,146411.3271,229912.5686,160204.0231,126666.696,122203.111,41944.65751,65431.49963,40368.73104,17201.84222,5748.095255
148.7053275,17055.70013,74631.69105,147788.7081,384932.5572,484564.4573,395080.3236,450314.1474,191663.4766,509026.9143,439124.661,443909.1647,532866.9452
310.1505057,1132.819841,28240.85098,64950.48841,220730.3913,240386.1306,153767.2879,138003.2507,27382.40789,155168.88,104195.5516,82602.41353,136898.3673
132.4512963,785.512898,5232.049855,10283.00374,26115.20071,61879.48173,67387.815,177246.7258,118954.8431,171619.7767,194240.0828,200423.491,216142.0675
124.6838185,2822.714214,9625.854351,19705.04951,27979.91358,40690.41267,62817.66347,73672.07095,92147.52768,130095.5579,48787.51563,133774.1917,159725.7607
108.7872259,8671.571244,14004.68368,13944.50852,23914.43342,11521.58656,38439.23892,176608.8396,135663.834,192884.634,63621.36357,533502.3161,312329.5352
158.0222598,19508.05917,68782.73037,78718.33415,124728.3598,111296.0221,105387.4065,278782.0178,117480.2209,132481.7724,121235.6898,133817.7664,153969.3595
143.5597134,13989.1303,56183.21769,100739.8623,240795.1186,263201.6389,195251.3495,214210.9402,71592.65613,155458.4569,123163.1851,91049.35399,97309.90088
159.9764096,76342.20245,199468.3971,169554.7631,210499.0657,203196.2162,196691.5814,476188.9392,248318.4604,311362.6465,299889.752,298644.6739,317438.2499
130.9821931,131720.6199,336122.4916,281651.9257,336597.7389,342961.4727,333720.3244,752271.9095,423473.1893,517791.0494,497881.5971,469950.127,462370.3718
158.0069377,20640.17858,72311.50027,88313.58818,134510.8408,111299.8112,121436.834,275945.837,135978.3213,137763.3951,125823.0119,141828.9745,165214.1091
147.8286903,33067.8631,95173.67645,142088.2829,244628.6571,168013.3952,126273.315,132599.8818,39838.56363,67835.2181,38017.94352,13970.21297,3626.949019
122.0232916,353089.1816,546614.4966,521050.5511,482344.8633,438880.796,644384.7862,708306.9255,889941.7176,1212975.765,467688.4092,1383862.688,1642080.112
144.3986834,13483.83918,53105.62023,95348.20891,150665.5664,106258.6727,80669.29846,76192.66998,20671.34033,41065.50048,29124.16848,20938.24766,23437.28587
187.9983485,36034.38072,109558.8445,84751.38217,137351.8122,173360.7879,120360.0623,145747.2782,41519.85685,57406.97846,43578.60387,46555.54097,96071.57674
184.3025814,56928.34037,220317.39,322212.6684,353905.5241,218850.577,263832.0745,347864.4465,192311.9875,518899.5023,431106.6253,390830.7553,441926.175
189.2601082,26870.63707,80228.46353,59139.89863,114564.2707,161291.1524,125375.953,141805.4811,64347.8137,200349.1559,177303.673,180533.4169,231948.8059
177.2238901,131978.2148,532825.1404,1072285.933,2708804.305,3445031.803,2876737.168,3208558.032,1510076.96,3739844.665,3145163.327,3153479.414,3712851.357
164.2375582,45105.1907,163736.4134,218556.9645,85641.81924,181689.2573,178538.2028,198260.6728,65468.87802,94937.50494,70255.29463,116203.6022,224625.0701
179.5374105,98878.80606,403996.2952,713560.03,1689407.86,1815540.007,1372915.34,1430515.54,577543.8308,1145708.119,876322.3685,709342.2758,725542.3096
181.8966379,72823.65223,320819.3079,532746.2947,859897.528,600488.5732,359172.3289,309612.324,132219.4089,458279.2877,449860.4315,554873.1107,768282.7769
119.4426757,2660.284833,12395.45523,20641.74429,32642.70818,43159.20822,65936.48504,81428.80243,105129.81,138475.7115,54492.15403,138450.7599,215792.5847
120.7242655,3953.642675,15159.70333,29119.29368,55155.40342,81251.24639,143214.0968,174629.3879,265252.9607,443665.903,188434.5916,622592.9426,794609.3636
123.3426491,3764.925426,15017.10851,29497.07598,52999.23774,80503.43093,136494.2531,166483.3624,251296.4481,429691.0515,181251.1229,615397.2329,773864.4804
178.3750467,103663.8995,397719.2942,714584.9285,1240583.214,858347.1445,622499.0828,576877.996,217985.4512,378384.6236,297061.7932,245268.1157,312779.8372
160.9420333,207318.9679,345771.862,345123.3262,420794.6924,371118.48,413734.0396,994634.6686,625785.6891,958732.5934,1015797.15,1091318.715,1254386.502
162.9426071,8635.788139,42419.32367,59875.29136,129606.4092,180098.1088,167624.2013,435916.211,233551.7796,286937.2471,275493.212,244559.9154,252197.8317
158.9771806,641753.5804,1691668.988,1469191.609,1812871.692,1749061.708,1724591.339,4006660.048,2161496.652,2653197.759,2548720.393,2495959.172,2863803.307
176.0837846,235326.5667,695518.802,1072754.022,1681575.716,1156306.771,926947.5937,879950.9749,325208.0463,474845.0228,307920.5675,207181.197,178774.4979
173.8364724,206263.4665,678412.0613,1057850.52,1657177.452,1159222.444,947348.6831,880120.2472,327262.5483,479374.9332,297039.8694,188859.984,168615.8646
157.0483216,28547.43921,60357.12366,93306.02383,216636.2859,336401.9846,383004.8908,992542.1992,643320.7491,963365.5977,1023890.95,1123725.845,1272294.127
155.1541569,16330.88723,48245.16261,64473.18564,128990.0703,175910.761,184491.1499,448995.8229,255592.8944,295983.2118,282641.6647,247772.031,242976.7225
112.1662264,1196.260652,7345.591076,9922.280358,37411.7961,14916.25004,73793.11944,359943.0951,322400.8592,591047.0766,211276.2253,2253472.143,1417521.521
109.8908222,14756.43874,19576.04667,21593.99635,42855.77828,48560.00137,84685.99716,380182.6371,336497.0733,607595.5021,220072.2093,2314546.561,1491166.313
